8.695769064409702943e-04 -1.926856961599796136e+00 4.479532669747359819e+02 4.755823373260412271e-08 -6.121813822344842393e+00 1.342498388382090569e+09
8.965081482185842865e-04 -1.900164564089962038e+00 4.277043072943662310e+02 1.450463324657154604e-08 -7.267877839228156667e+00 1.342498389161771297e+09
9.884568512892202927e-04 -1.847287883471162129e+00 2.976961626245900447e+02 3.513929355272901108e-06 -3.296719242676110717e+00 1.342498389388563156e+09
8.833134617215492772e-04 -1.917643132280990592e+00 4.068156736782350436e+02 4.948825152845541667e-07 -4.565596518317102337e+00 1.342498389496017694e+09
8.859136204316724007e-04 -1.908346025597211781e+00 4.453294042881851738e+02 1.141118541008221929e-06 -4.491903058151782702e+00 1.342498389546188116e+09
8.493545263136244913e-04 -1.940280394192535951e+00 5.219431929392712846e+02 5.109683641260566629e-06 -3.212992775178614480e+00 1.342498389916468859e+09
8.370949271337247517e-04 -1.951757281564283186e+00 5.581378068376355941e+02 4.632678561675808331e-08 -6.457308268318257660e+00 1.342498389976716995e+09
8.871479785484209183e-04 -1.921705031937401831e+00 4.318363485408284532e+02 2.313126499885278199e-06 -3.871727655551679526e+00 1.342498390042158604e+09
8.638934390553043921e-04 -1.934583347370050443e+00 4.486756341090770093e+02 2.026250424838504482e-08 -7.103130295401444805e+00 1.342498390191758394e+09
8.820785791762412618e-04 -1.919567500876763422e+00 4.217448764510369870e+02 1.357526126326983765e-06 -3.665312358227235556e+00 1.342498390381845474e+09
8.367926011391259387e-04 -1.948218774410665155e+00 5.407897831333636987e+02 3.824790309521131907e-08 -6.580344652929063898e+00 1.342498390390111446e+09
8.917487646547985055e-04 -1.913165576275787982e+00 4.179450769759193349e+02 6.724831546632356102e-06 -2.453272198253666048e+00 1.342498390401596785e+09
8.204252495555417650e-04 -1.962337510076344937e+00 6.009427479238067917e+02 4.228922031785252112e-07 -4.901379314239086682e+00 1.342498390578710079e+09
9.779050541755833405e-04 -1.851075568731664678e+00 3.038748797904972889e+02 2.743739094818993006e-06 -3.486392052723413570e+00 1.342498390642769098e+09
8.478713419607222584e-04 -1.946454520424344858e+00 5.245483807468488067e+02 3.081859564959058504e-06 -3.354181022676642421e+00 1.342498390693284035e+09
8.410099814953234760e-04 -1.945974868698084892e+00 5.546236350615783977e+02 7.923523929302333071e-07 -4.760319846348449957e+00 1.342498390708425522e+09
8.584106735531079170e-04 -1.927062297432590610e+00 5.097282187785039014e+02 2.163776276947560678e-07 -5.596439832118759838e+00 1.342498391115162611e+09
9.368520947578103846e-04 -1.881295700117297187e+00 3.502375378225960958e+02 4.201263338505332875e-07 -5.237366554552773223e+00 1.342498391154066801e+09
