    0.999904250390044636E-04   -0.299998243059997627E+01    0.802627865407830519E-13   -0.132846672029175394E+01    0.461251017050950944E+09
    0.999898676685251575E-04   -0.299999529355581984E+01    0.741293833593321043E-11   -0.670569788769327602E+00    0.461251017768742681E+09
    0.999924491844586180E-04   -0.299997211630573624E+01    0.375237923993960307E-10   -0.378115408866560365E+00    0.461251017927805424E+09
    0.999953604766516148E-04   -0.299994935009759978E+01    0.221197326954600371E-07   -0.705415114317218261E+00    0.461251017946482420E+09
    0.999907410980064860E-04   -0.299998907722597030E+01    0.126023954112317659E-13   -0.557986938451192138E+01    0.461251017978455067E+09
    0.999933862804512185E-04   -0.299996706792251988E+01    0.697569962039890128E-13   -0.129075066941868588E+01    0.461251018308480561E+09
    0.999924360672805251E-04   -0.299997706812181697E+01    0.132157625907181641E-12   -0.435219661493511634E+01    0.461251018390313566E+09
    0.999963878922712233E-04   -0.299994301973807476E+01    0.176294490559606836E-08   -0.139977653413122827E+01    0.461251018699922204E+09
    0.999979832011637526E-04   -0.299992932440274451E+01    0.127934410293341542E-14   -0.560815228947200772E+01    0.461251018930147409E+09
    0.999912367196955341E-04   -0.299999506677177452E+01    0.707716687646743824E-12   -0.450345807134427289E+00    0.461251019008586824E+09
    0.999939696934030650E-04   -0.299996961968189435E+01    0.154029597890240731E-13   -0.634351422660190600E+01    0.461251019090174437E+09
    0.999930760645192967E-04   -0.299997859302355918E+01    0.169818717982144499E-12   -0.198733973757653093E+01    0.461251019126079082E+09
    0.999957864593199302E-04   -0.299995452735288248E+01    0.118450288045713723E-08   -0.860067130175103500E+00    0.461251019289527416E+09
    0.999972111634542065E-04   -0.299994059102877175E+01    0.549819340974399145E-14   -0.127838665173471888E+01    0.461251019297529936E+09
    0.999951160664240980E-04   -0.299996215769035013E+01    0.663863621377438549E-13   -0.815199043969093040E+00    0.461251019432088614E+09
    0.999956615498481127E-04   -0.299995755714188883E+01    0.212691852318738469E-10   -0.274111888829956563E+01    0.461251019491021514E+09
    0.999920599151403548E-04   -0.299999220408755951E+01    0.108682503716926271E-13   -0.585143660427878931E+01    0.461251019492927670E+09
    0.999970813113341966E-04   -0.299994455481726385E+01    0.213557422461861390E-08   -0.898922623699092149E+00    0.461251019502049148E+09
    0.999930208863625345E-04   -0.299998667314880763E+01    0.835880333260178421E-13   -0.901095457912590270E+00    0.461251019848846674E+09
    0.999960144219288978E-04   -0.299995855199097239E+01    0.128085318376405584E-13   -0.110394627133726519E+01    0.461251019914561927E+09
    0.999943481817053151E-04   -0.299997574587066218E+01    0.128475564887248976E-10   -0.948380158692843089E+00    0.461251020025204837E+09
    0.999974003641184703E-04   -0.299994639154692155E+01    0.160721866322774860E-13   -0.128772921377096417E+01    0.461251020027211964E+09
