    0.683070606161140410E-03   -0.202973117924644342E+01    0.432068104384346068E+09
    0.721518437929782701E-03   -0.197257238648497157E+01    0.432068104413139880E+09
    0.713530968571814204E-03   -0.197002333876130287E+01    0.432068104815326929E+09
    0.712591694778044933E-03   -0.199416623297091888E+01    0.432068105368631899E+09
    0.716822298256734620E-03   -0.198503294896801386E+01    0.432068105638374150E+09
    0.685910592987970871E-03   -0.202617366713324287E+01    0.432068105862339556E+09
    0.717220490756472970E-03   -0.198294930494492405E+01    0.432068106115186989E+09
    0.718858572420936776E-03   -0.197346993256416781E+01    0.432068106208424807E+09
    0.691879829344708530E-03   -0.199765699269041974E+01    0.432068106243678153E+09
    0.718310815928074886E-03   -0.197488469745181483E+01    0.432068106607520163E+09
    0.704105526325575905E-03   -0.198086920701661029E+01    0.432068106609603822E+09
    0.717951855509787237E-03   -0.197607371559787559E+01    0.432068106846935034E+09
    0.707049073198704869E-03   -0.200163497139267754E+01    0.432068106860578358E+09
    0.699985599134196547E-03   -0.198629692104531941E+01    0.432068106916991472E+09
    0.717515125200921412E-03   -0.197474405100030737E+01    0.432068106994312227E+09
    0.715912642520370756E-03   -0.197304296326251638E+01    0.432068106994703114E+09
    0.689892731980173198E-03   -0.202173925488259343E+01    0.432068107129922330E+09
    0.708861721849748353E-03   -0.197677905694811962E+01    0.432068107146749198E+09
    0.714966072072038806E-03   -0.198621995903031667E+01    0.432068107172068298E+09
    0.717282362052309433E-03   -0.197814690315462371E+01    0.432068107198507607E+09
    0.709617790134664571E-03   -0.199682381865308223E+01    0.432068107277261317E+09
    0.684402866017655778E-03   -0.201715502506731248E+01    0.432068107419243813E+09
    0.686779040576963548E-03   -0.200982655198736815E+01    0.432068107476922870E+09
    0.696148979130582117E-03   -0.201535325852506553E+01    0.432068107528872609E+09
    0.698486004517228287E-03   -0.198914590554648996E+01    0.432068107561799288E+09
    0.691520213484781332E-03   -0.200023515233283966E+01    0.432068107605148971E+09
    0.688471462155781162E-03   -0.202178858686980689E+01    0.432068107611584604E+09
    0.710720655231350594E-03   -0.197611752128133134E+01    0.432068107644239485E+09
    0.690785603441139255E-03   -0.200174394652352916E+01    0.432068107698986232E+09
    0.716333232375052239E-03   -0.197915433249154837E+01    0.432068107754084170E+09
    0.715707097822844331E-03   -0.198227202696829785E+01    0.432068107756909549E+09
    0.687850720944726385E-03   -0.200793774813783088E+01    0.432068107767064095E+09
    0.708601235330250730E-03   -0.199778696448371562E+01    0.432068107805310130E+09
    0.697666568943485746E-03   -0.201326652566762476E+01    0.432068107809029102E+09
    0.698026050484209831E-03   -0.201280731445159056E+01    0.432068107837626278E+09
    0.693271997438649982E-03   -0.201782410917128452E+01    0.432068107855936110E+09
    0.706459068036792556E-03   -0.200120714127976740E+01    0.432068107867407739E+09
    0.711320210026418769E-03   -0.199263094381099393E+01    0.432068107921182156E+09
    0.715710032814275755E-03   -0.198140345935316908E+01    0.432068107922386408E+09
    0.686731075079934994E-03   -0.202129718456081875E+01    0.432068107995358348E+09
    0.706142401383409246E-03   -0.198055694868106080E+01    0.432068108014022350E+09
    0.709711963875754191E-03   -0.197745971187245928E+01    0.432068108019217432E+09
    0.711069775549340831E-03   -0.197657028045507488E+01    0.432068108020548940E+09
    0.695086186178903490E-03   -0.201575754641845606E+01    0.432068108055675805E+09
    0.685790729604895196E-03   -0.201496068856126342E+01    0.432068108112285137E+09
    0.689145416756560634E-03   -0.202039112839554491E+01    0.432068108142417312E+09
    0.714245143297759255E-03   -0.197609513713829799E+01    0.432068108159248233E+09
    0.686253946633570960E-03   -0.201348342589574791E+01    0.432068108175540090E+09
    0.690114268414466895E-03   -0.201974145735914057E+01    0.432068108200512826E+09
    0.686215754670463818E-03   -0.202023001784543688E+01    0.432068108212940753E+09
    0.714631717725474182E-03   -0.198386288333754024E+01    0.432068108255476356E+09
    0.690716280526109251E-03   -0.201920420310791648E+01    0.432068108280007780E+09
    0.690186277694710294E-03   -0.200400631909607263E+01    0.432068108300499618E+09
    0.689894355675004455E-03   -0.200466658865169123E+01    0.432068108330081999E+09
    0.686560406967934625E-03   -0.202000328145120811E+01    0.432068108333605945E+09
    0.699953568004072066E-03   -0.200974439278508754E+01    0.432068108357449710E+09
    0.711908370094973468E-03   -0.199045562716911917E+01    0.432068108398466766E+09
